DB03843	[H]C([H])=O
DB04117	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSC(=O)\C=C\C4=CC=C(C=C4)N(C)C)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB04119	Br.Br.Br.Br.Br.Br.Br.Br.Br.Br.Br.[Br-].[Ta].[Ta].[Ta].[Ta].[Ta].[Ta+]
DB04120	CC1=CC=C(O)C(O)=C1
DB04121	NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
DB04122	O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
DB04123	[H][P@](O)(=O)CNC(=O)CC1=CC=C(I)C=C1
DB04124	[H][C@@]1(O[C@@]([H])([C@H](C)[C@H](OC)C(\C)=C\C=C\CNC(=O)[C@@H](CC)[C@@]2(O)O[C@@H](\C=C\C=C/C)C(C)(C)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O)\C=C\C=C\C=C(/C)C(=O)C1=C(O)C=CN(C)C1=O
DB04125	CC(=O)N1CCN(CC1)C(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)NS(=O)(=O)C1=CC=C2C=CC=CC2=C1
DB04126	[H][C@](O)(CC(O)=O)C(=O)N[C@@]([H])(CC(C)C)C(=O)NCCC(C)C
DB04127	[H][C@@]1(O)O[C@]([H])(COP(O)(O)=O)[C@@]([H])(O)[C@]1([H])O
DB04128	[H]N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=C(N=O)C(=O)N([H])C(=O)N1[H]
DB04129	NOC(=O)CCN1C=CC(=O)NC1=O
DB04130	COC1=CC2=C(C=C1)N=CN2
DB04131	[H][C@@]1(C[C@]([H])(N(C)C)[C@]([H])(O)[C@]([H])(C)O1)O[C@@]1([H])C[C@](O)(CC)CC2=CC3=C(C(O)=C12)C(=O)C1=C(C=CC=C1O)C3=O
DB04133	[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@]1([H])NC(C(O)=O)=C(C)CS1
DB04135	[H]N1C=C(F)[C@H](O)N([H])C1=O
DB04136	[H][C@@](O)(CO[C@@]([H])(O)CCCCCCCCCCCCCC)COP(O)(=O)OC[C@]([H])(N)C(O)=O
DB04137	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
DB04138	[H]N(CC(=O)C=O)C(=O)C1=CC(N(CCBr)CCBr)=C(C=C1[N+]([O-])=O)[N+]([O-])=O
DB04139	CC1=C(CCCO)NC(=O)NC1=O
DB04140	[H][C@@]1(CC(=O)N(CC2=CC=CC=C2)CN1S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO
DB04141	[H][C@]1(O)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCC)[C@]1([H])O
DB04142	CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=C(C=C2)S(=O)(=O)N(C)C
DB04143	[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)C1=CNC2=C1C=CC=C2
DB04144	[H][C@]1(N=C(N(C(=O)N2CCNCC2)[C@]1([H])C1=CC=C(Cl)C=C1)C1=C(OC(C)C)C=C(OC)C=C1)C1=CC=C(Cl)C=C1
DB04149	[H][C@]1(CNC(=O)C1)C1=CC(OC2CCCC2)=C(OC)C=C1
DB04150	[H]N([C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)N([H])[C@H]([C@@H](C)O)C(O)=O)C(C)=O
DB04151	CN1C=NC(C[C@H](N)C(O)=O)=C1
DB04152	N[C@@H](CC1=CCCCC2=C1C(=O)NO2)C(O)=O
DB04153	N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(O)=O)C(O)=O
DB04154	CN(C(C)=O)C1=CC=CC(=C1)C1=NN=C2C=CC(=NN12)C1=CC=CC=C1
DB04155	[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])F)[C@]([H])(O)[C@@]1([H])O
DB04156	N[C@@H](CC(=O)O[Be--](F)(F)F)C(O)=O
DB04157	NOC(=O)NC1=CC=CC=C1
DB04158	[H]N([H])C1=NC(=O)C2=C(N([H])CC(COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=NC4=C(N=CN=C34)N([H])[H])=N2)N1[H]
DB04162	[H]N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=C(C(=O)N([H])C(=O)N1[H])[N+]([O-])=O
DB04163	NC1=NC2=C(C(N)=N1)C(SC1=CC=CC=C1)=CC=C2
DB04164	[H][C@]1(O)OC(=C)[C@@]([H])(N[C@@]2([H])C=C(C=O)C(=O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
DB04165	CCCC(CCC)C(N)=O
DB04166	NC1=CC=CC=C1C(O)=O
DB04167	CC(=O)N[C@@H](CCC(N)=O)C(O)=O
DB04168	NC1=NC(=O)C(Br)=C(N1)C1=CC=CC=C1
DB04169	NC1=CC(N)=C2C(=O)NNC(=O)C2=C1
DB04170	C[C@](O)(CBr)CCO[P@](O)(=O)OP(O)(O)=O
DB04172	[H][C@@](CC1=CC(=CC=C1)C(N)=N)(NS(=O)(=O)C1=C(C=C(C=C1C(C)C)C(C)C)C(C)C)C(=O)N1CCN(CC1)C(=O)CCN
DB04173	OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O
DB04174	[H]N([C@H]1[C@@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)N([H])C2=O)O[C@H](CO)[C@@H](O)[C@@H]1OC(C)(OP(O)(O)=O)C(O)=O)C(C)=O
DB04175	OC(=O)CCC1=C(NC2=C1C(Cl)=CC(Cl)=C2)C(O)=O
DB04176	[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=C2C=CC(OC)=C3)[C@]([H])(O)[C@]1([H])O
DB04178	[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
DB04179	O1C=CC2=CC=CC=C12
DB04180	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=C(F)C=C1
DB04182	[H][C@](N)(CCSC[C@@]([H])(O)[C@@]([H])(O)C(=O)CO)C(O)=O
DB04183	CC(C(O)=O)C(O)=O
DB04185	CCC[C@H](N)C(O)=O
DB04186	[H][C@]12CCCN1C(=O)C1=C2C(NC(=O)NC2=CC=CC=N2)=CC=C1
DB04187	[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CS[C@]1([H])[C@@H](O)C2=CC=CC=C2C2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O
DB04188	C=C=CCNCCCCNCC=C=C
DB04190	O[C@H](C[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB04191	[H][C@@](C)(N)C(=O)N[C@@]([H])(C)C(=O)N[C@@]([H])(CC1=CC=CC=C1)[C@@]([H])(O)CCC(=O)N[C@@]([H])(C(C)C)C(=O)N[C@@]([H])(C(C)C)C(=O)OC
DB04194	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
DB04195	C[C@]1(OP(O)(O)=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DB04196	NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(O)=O)N=C2C(=O)N1
DB04197	N\C(NO)=N/CCC[NH3+]
DB04198	[H][C@]1(CO)O[C@@]([H])(C2=C3N=CNC(=O)C3=NN2)[C@]([H])(O)[C@]1([H])O
DB04199	[H][C@](O)(COC(=O)CCCCC)COP(O)(O)=O
DB04200	[H][C@]1(CC2=CC=C(O)C(OC)=C2)COC(=O)[C@]1([H])CC1=CC=C(O)C(OC)=C1
DB04201	[H][C@](N)(CC1=CN=CN1)C(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB04203	NC1=CC=C(C=C1[Hg])S(N)(=O)=O
DB04204	OP(O)(=O)C(F)(F)C1=CC=C(CCCCC2=CC=C(C=C2)C(F)(F)P(O)(O)=O)C=C1
DB04205	[H][C@@]1(C[C@@]([H])(O[C@]1([H])COP(O)(O)=O)N1C=C(C)C(=O)NC1=O)OP(O)(O)=O
DB04206	N[C@@H](CC1=CNC2=NC=CC=C12)C(O)=O
DB04207	N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O
DB04208	COC1=C(OC)C=C(CCC(O)=O)C=C1
DB04209	CC1=CC(N)=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]1=C(C)C=C(N)C2=C1C=CC=C2
DB04210	OCC1OC(OC2=CC(=CC(=C2)[N+]([O-])=O)C(=O)NCCCN2CCN(CCCNC3=C(NCCCN4CCN(CCCNC(=O)C5=CC(=CC(O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)=C5)[N+]([O-])=O)CC4)C(=O)C3=O)CC2)C(O)C(O)C1O
DB04212	CC(=[NH2+])C([O-])=O
DB04213	O=C(NCCCC1=CC=CC=C1)NC1CCCCC1
DB04214	OP(O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O
DB04215	CC1=CC(Br)=C([O-])C(=C1)C1=CC2=CC(=CC=C2N1)C(N)=[NH2+]
DB04217	N[C@@H](C#C)C(O)=O
DB04218	[H][C@]1(CO)O[C@@]([H])(N2C=NC3=C(N)C=CN=C23)[C@]([H])(O)[C@]1([H])O
DB04220	CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)CC(=O)OCC3CCCN(C)C3)[C@@H]1C)=C(N1CCOCC1)C2=O
DB04221	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
DB04223	N[C@@H](CCCNC(=N)N[N+]([O-])=O)C(O)=O
DB04227	[H]N([H])C[C@@H](O)[C@@H](O)[C@]1([H])OC(=C[C@H](O)[C@H]1N([H])C(C)=O)C(O)=O
DB04229	OC(=O)CN(CCN(CC(O)=O)CC(=O)NCCS)CCN(CC(O)=O)CC(=O)NCCS
DB04230	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCC[N+]([O-])=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB04231	[OH2+][Cu-4]([OH2+])([N]1=CNC=C1)([N+]1=CNC=C1)([N+]1=CNC=C1)[N+]1=CNC=C1
DB04232	[H][C@@]1(CN(CCN1S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)OCC1=CC=CC=C1)C(=O)NO
DB04233	CCCCCCCCOCCOCCOCCOCCO
DB04234	[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O
DB04235	[H][C@@](N)(CC)CCC(O)=O
DB04237	NC(CCO)(CCO)CCO
DB04238	[H][C@@](CC1=CC(=CC=C1)C(N)=N)(NS(=O)(=O)C1=CC2=CC=CC=C2C=C1)C(=O)N1CCCC[C@]1([H])C(O)=O
DB04239	NCC1=CC(CSC2=CC=CC=C2)=C2N=C(N)NC(=O)C2=C1
DB04241	CC1=NC=C(COP(O)(O)=O)C(CNC(C)(C)C(O)=O)=C1O
DB04242	OC(=O)C1=CC=C(O)C=C1
DB04243	CC1=CN([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)NC1=O
DB04244	[H]N(C[C@@H](O)CN([H])S(=O)(=O)C1=CC=CC=N1)C(=O)[C@H](CC(C)C)C1=CC=CC(=C1)C1=CC=CC=C1
DB04246	NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=CC(CC[NH3+])=CC(=C1O)C1=CC=CC=C1
DB04248	[H][C@@]1(O)O[C@]([H])(CO)[C@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
DB04249	[Zn+4].[H]\C(C)=C1\C(C)=C2[N-]\C\1=C([H])/C1=C(C)C(=C([H])C)\C([N-]1)=C([H])\C1=C(C)C(CCC(O)=O)=C([N-]1)\C([H])=C1/[N-]\C(=C/2\[H])C(C)=C1CCC(O)=O
DB04252	NC(=O)N[C@@H](CC(O)=O)C(O)=O
DB04253	NC(=O)C1=CC(N2CC2)=C(C=C1[N+]([O-])=O)[N+]([O-])=O
DB04254	CCCCN1C(CC2=CC3=C(OCO3)C=C2)=NC2=C(N)N=C(F)N=C12
DB04255	CNC(=O)[C@@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12)C(C)C
DB04256	C[C@@](N)(C(O)=O)C1=CC=C(C=C1)C(O)=O
DB04257	CCCCCC\C=C/CCCCCCCC(O)=O
DB04258	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\C=C\C(O)(CC)CC
DB04260	NC1=NC2=C(N=CN2CCCCC(F)(F)P(O)(O)=O)C(=O)N1
DB04261	NC(O)=O
DB04262	[H][C@@](O)(CO)[C@@]([H])(O)[C@@]([H])(O)CN1C(O)=C(CCC(O)=O)N=C2C(O)=NC(=O)N=C12
DB04263	[H][C@]1(O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O[C@]([H])([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]1N
DB04264	[H]N([H])C1=NC(=O)C2=C(C=CC(C[C@@H](C(O)=O)C3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)=C2)N1[H]
DB04265	CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
DB04267	OC(=O)C1=CC=CC(=N1)C(O)=O
DB04268	[H]N([C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@H](OC4=CC5=C(C=C4)C(C)=CC(=O)O5)[C@H](N([H])C(C)=O)[C@H]3O)[C@H](N([H])C(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O)C(C)=O
DB04269	[H][C@@]12CCCN1C(=O)[C@H](CNC(=O)\C=C\[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C(=O)[C@H](CCCNC(N)=N)NC2=O)NC=O
DB04270	[H][C@@](CC1=CC=C(OCCN2C3=C(C=CC=C3)C3=C2C=CC=C3)C=C1)(OCC)C(O)=O
DB04271	CCOC(=O)C1=C(C)NN=C1C
DB04272	OC(=O)CC(O)(CC(O)=O)C(O)=O
DB04273	ClC1=CC=C2CCCNCC2=C1Cl
DB04275	CC(=O)NCCC1=CNC2=C1C=C(O)C=C2
DB04276	CC(C)C[C@H](NC(=O)[C@@H](O)CC(O)=O)C(=O)NCCCC[NH+]=C(N)N
DB04277	OCC(=O)[C@@H](O)[C@@H](O)[C@H](O)COP(O)(O)=O
DB04278	[H]N([H])C(=N[C@H](C1CCCCC1)C(=O)N([H])CC(=O)N([H])[C@@H](C)C(=O)N([H])CCCS)N([H])[H]
DB04279	CC(C)C(C(O)C(O)=O)C(O)=O
DB04280	[H]N1[C@H](O)C=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C1=O
DB04281	[H]C1(CCC(CC1)=C1C(O)=C(O)C2=CC=CC=C2C1=O)C1=CC=C(Cl)C=C1
DB04282	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])F
DB04284	C[N+]1(C)CCC[C@H]1C([O-])=O
DB04285	[H]\C(C[C@](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)(N1N=NC2=CC=CC=C12)C1=NC2=CC=CC=C2S1)=C(\[H])C1=CC=CC=C1
DB04286	O[C@@H]1CO[C@@H](O)[C@H](O)[C@@H]1O
DB04287	[H]N([C@@H](CCC(O)=O)CC1=CC=C(OCC2=CC=CC=C2)C=C1)C(=O)CCCCCCC1=CC=CC=C1
DB04288	[H][C@]1(N)CC[C@@]([H])(CC1)NC1=NC(NCC2=CC=CC=C2)=C2N=CN(C3CCCC3)C2=N1
DB04289	O=C(N1CCN(CC1)C1C2=CC=CC=C2C2=CC=CC=C12)C1=CC2=C(NC=C2)C=C1
DB04293	N[C@@H](C(=O)N[C@@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
DB04294	[H][C@]1(O)[C@@]([H])(O)[C@@]([H])(OP(O)(=O)CP(O)(O)=O)O[C@]1([H])COP(O)(O)=O
DB04295	[H]N([C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)N([H])C(=O)C1=CC=CC=C1
DB04296	[H][C@](N)(CCC(C)=O)C(O)=O
DB04297	C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C
DB04298	CC1=CC(SC2=C(O)C[C@](CCC3=CC=C(O)C=C3)(OC2=O)C2CCCC2)=C(C=C1N)C(C)(C)C
DB04299	OC(=O)\C=C/C(O)=O
DB04301	NC(=N)C1=CC2=C(C=C1)N=C(N2)C(O)(O)C1=NC2=C(N1)C=C(C=C2)C([NH3+])=[NH2+]
DB04302	C\C(C=C)=C/[C@@]1(C)SC(=O)C(C)=C1O
DB04303	[H][C@]1(O)O[C@]([H])(C(O)=O)[C@@]([H])(OC)[C@]([H])(O)[C@@]1([H])O
DB04304	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O
DB04306	CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1
DB04310	[H][C@@](CCCCC)(CC(=O)NO)C(=O)N[C@@]([H])(C(C)C)C(=O)N1CCC[C@@]1([H])CO
DB04311	NCCCCC1=CC=CC=C1
DB04312	OCC1=CC=CC(F)=C1F
DB04314	CN1C=CC(N)=NC1=O
DB04315	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
DB04316	[H]N(O)C(=O)N([H])[C@H](CC1=CC=CC=C1)C(O)=O
DB04317	OC(=O)C(CP(O)(O)=O)=C(Cl)Cl
DB04318	[H]N([H])C(=O)[C@H](CC1=CN([H])C2=CC=CC=C12)N([H])C(=O)[C@H](CCCC1=CC=CC=C1)CP(O)(=O)[C@@H](CC1=CC=CC=C1)N([H])C(=O)OCC1=CC=CC=C1
DB04320	OCC(Br)=C
DB04322	[H]N([H])C1=NC(=O)C2=C(N([H])C[C@@H](CCC3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)C2)N1[H]
DB04324	[H][C@]1(CC=C(C)C)O[C@]1(C)[C@@]1(O)[C@]([H])(OC)C(=O)CC[C@@]1(C)O
DB04325	NCCC1=CC=CC=C1
DB04326	OCC(=O)COP(O)(O)=O
DB04327	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@](O)(=O)OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC
DB04328	O[C@@H]1CC(=C[C@@H](OP(O)(O)=O)[C@H]1O)C(O)=O
DB04330	[H][C@]1(O[C@@]2(C(=O)C3=C(C=C(C)C=C3)C2=O)[C@]([H])(C(O)=O)[C@]1([H])C(=O)NC1=CC=C(C=C1)C1=CSN=N1)C1=CC(Cl)=C(Cl)C=C1
DB04331	CCOC(=O)C1=C(C)NC(=S)N[C@H]1C1=CC=CC(O)=C1
DB04334	N[C@@H](CC1=CC(=O)C(O)=CC1=O)C(O)=O
DB04336	NC(=N)C1=CC=C(NC(=O)NC2=CC=C(Cl)C=C2)C=C1
DB04337	C[N+]#[C-]
DB04338	NC1=NC=CC(=N1)C1=C(N=CN1C1CCNCC1)C1=CC=C(F)C=C1
DB04339	N[C@@H](CSCC(O)=O)C(O)=O
DB04340	[O-]C(=O)C1=CC=CC=C1OP([O-])=O
DB04342	CO[C@]1(NC(=O)[C@H](C(O)=O)C2=CC=C(O)C=C2)[C@H]2OCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O
DB04343	OC(=O)C=O
DB04345	CC1=CC2=NC3=C(N=C2C=C1C)C(=O)NC(=O)N3
DB04346	[H][C@]1(O)CO[C@@](C)(O)C1(O)O
DB04347	O[C@@H]1CC(=CC(=O)[C@H]1O)C(O)=O
DB04348	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O
DB04349	C[C@H](O)CO
DB04350	CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(O)=O)NC(=O)[C@H](CC2=CNC=N2)N2[C@H](O)C[C@H](NC(=O)[C@H]3CCCN3C1=O)C2=O
DB04351	[O-]C(=O)C\C(=C\C([O-])=O)C([O-])=O
DB04352	O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
DB04353	[H]N([H])C(=O)CC[C@H](N([H])C(=O)[C@H](CC(=O)[C@H](CC1=CC=CC=C1)N([H])C(=O)OC(C)(C)C)CC1=CC=CC=C1)C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[H]
DB04359	OS(=O)(=O)C=C
DB04360	OB(O)C1=CC2=C(S1)C=CC=C2
DB04361	[H]N=NC
DB04363	[H]N1C(=O)C(C)=C(CC)\C1=C\C1=N\C(=C/C2=C(C)C(CCC(O)=O)=C(\C=C3/N([H])C(=O)C(C)=C3CC)N2[H])\C(C)=C1CCC(O)=O
DB04365	COC(=O)C1=CCCN(C)C1
DB04366	[H][C@]1(COP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])N
DB04367	NC1=NC(=O)\C(N1)=C1/CCNC(=O)C2=C1C=CN2
DB04368	[H][C@@](CCCC)(CN(O)C=O)C(=O)N[C@]([H])(C(=O)N(C)C)C(C)(C)C
DB04369	OB1OCCO1
DB04371	COC1=CC(=CC=C1)N1C=CC2=C(SC(=C2)S(N)(=O)=O)S1(=O)=O
DB04372	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
DB04373	CC(C)C[C@@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)NC(=O)C1=CC=CC(N)=C1
DB04374	CCCCCC(CCCCC)SC1=C(N=NN1)C(O)=O
DB04376	[H][C@]12[C@]3([H])C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@]4([H])[C@@]3(O)[C@]([H])(C)[C@@]([H])(O)[C@@]1(OC(C)=O)C2(C)C
DB04377	CC(O)(CC(O)=O)CC(O)=O
DB04378	CC(C)C[C@@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)NC(=O)C1=CC=C(N)C=C1
DB04380	NC(=O)NC(NC(N)=O)C([O-])=O
DB04381	[H]C(=O)\C=C\C
DB04382	OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O
DB04385	[H][C@]1(CO)O[C@@]([H])(N2C=CC(N)=CC2=O)[C@]([H])(O)[C@]1([H])O
DB04386	C[C@]1(OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O1)C(O)=O
DB04387	N[C@H](CO)CC1CCCCC1
DB04388	N[C@@H](CCC=O)C(O)=O
DB04389	[H][C@]1(COP(O)(=O)CP(O)(=O)O[P@](O)(=S)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB04391	[H]N([H])C(=NCCCCN([H])C(=O)[C@@H]1C[C@]2([H])CC[C@H](C[C@]2([H])N1C(=O)[C@H](N([H])C(=O)[C@H](O)CC1=CC=C(O)C=C1)[C@H](C)CC)OS(O)(=O)=O)N([H])[H]
DB04392	[H][C@@]1(C[C@@]2([H])C(=O)OC3=C(C=CC=C3)C2=O)C(=O)OC2=CC=CC=C2C1=O
DB04393	OC1=C(OC2=CC=C(Cl)C=C2)C=CC(Cl)=C1
DB04394	NS(=O)(=O)C1=CC=C(N2CCCC2=O)C(=C1)[N+]([O-])=O
DB04395	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)NP(O)(O)=O)[C@H](O)[C@H]1O
DB04396	[H][C@]1(CO)O[C@@]([H])(S[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
DB04397	O[C@@H]1[C@@H](O)[C@H](CO[V](O)(=O)=O)O[C@H](OP(O)(O)=O)[C@H]1O
DB04398	CC(O)C(O)=O
DB04400	C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O
DB04401	C[N+](C)(C)CC=O
DB04404	[H][C@]1(O)[C@]([H])(O)[C@@]2([H])N=C(O[C@@]2([H])[C@]1([H])CO)N(C)C
DB04405	[H][C@](CCN1C(=O)C2=CC=CC=C2C1=O)(CC(=O)C1=CC=C(C=C1)C1=CC=C(OCC)C=C1)C(O)=O
DB04407	CNC1=NC(C)=C(S1)C1=CC=NC(NC2=CC=C(O)C=C2)=N1
DB04408	[H]\C1=C2\C(=C[C@@]([H])(OC(=O)C3=C(O)C=CC4=C3C=C(OC)C=C4C)[C@]2([H])O[C@@]2([H])O[C@]([H])(C)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])NC)C#C[C@@]2(O[C@]2([H])C#C1)[C@@]1([H])COC(=O)O1
DB04409	[O-]S(=O)(=O)C1=CC2=C(C=C1)C(=CC(=C2)S([O-])(=O)=O)S([O-])(=O)=O
DB04410	NCCCC1=CC=CC=C1
DB04411	[H][C@](CO)(NC(=O)C(Cl)Cl)[C@]([H])(O)C1=CC=C(N)C=C1
DB04414	O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo]
