DB02570	[H][C@](S)(CC1=CC=C(I)C=C1)C(O)=O
DB02852	[H]\C(\C(\[H])=C(\C)[C@@]1([H])CN[C@]([H])(C(O)=O)[C@@]1([H])CC(O)=O)=C(\[H])[C@@]([H])(C)C(O)=O
DB02854	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@]([H])(O)CC[C@]12C
DB02855	[H][C@](O)(CC(=O)N[C@]([H])(C(=O)N1CCC[C@@]1([H])C(O)=O)[C@@]([H])(C)CC)C(=O)NCCC
DB02856	CCOC(=O)NC
DB02857	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
DB02858	OB(O)C1=CC(NS(=O)(=O)C2=CC(=CS2)S(=O)(=O)C2=CC=CC=C2)=CC=C1
DB02859	[H]\C1=C([H])/[C@@]([H])(OC)[C@]([H])(CCCC[C@]([H])(OC(=O)[C@@]([H])(C)[C@@]2(O)O[C@]([H])([C@@]([H])(C)[C@]([H])(O)[C@@]2([H])OC)[C@@]1([H])C)C1=CC=CC=C1)OC
DB02860	[H][C@@]1(O[C@]2(C[C@@H](O)[C@H](C)[C@H](C\C=C\C3=COC(=N3)[C@@H](C)CCNC(=O)[C@@H](O)[C@@H](O)[C@H](COC)N(C)C)O2)C(C)(C)[C@H]1OP(O)(O)=O)[C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C/C#N)OC
DB02861	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC(F)=C(F)C(F)=C1
DB02865	N[C@H]1[C@H](O)O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]1O
DB02866	CN(C)C1=C2C=CC=C(C2=CC=C1)S(N)(=O)=O
DB02867	OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
DB02868	[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)(C[C@@]22OC(=O)N(CCCl)C2=O)[C@@]13[H])[C@]1(C[C@H]2CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC
DB02869	[H][C@](N)(CCC1=CC=CC=C1)C=CS(=O)(=O)C1=CC=CC=C1
DB02870	C=CCNC1=CC=CC=C1
DB02871	[H][C@]1(CCCC)CC[S@](=O)C1
DB02872	[H][C@]1(N=C(N(C(=O)N2CCN(CCO)CC2)[C@]1([H])C1=CC=C(Br)C=C1)C1=C(OCC)C=C(OC)C=C1)C1=CC=C(Br)C=C1
DB02873	FC1=CC=C(C(F)=C1)C1=C2CNC(=O)N(C2=CC(=C1)N1CCNCC1)C1=C(Cl)C=CC=C1Cl
DB02875	NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(F)=CC=C1[O-]
DB02876	[H]C(=C([H])C(\CS(=O)=O)=C(\NC1=C(C=O)C=C2C=CC=CN12)C(O)=O)C(O)=N
DB02877	C\C(=C/C1=CC=C(C=C1)C(O)=O)C1=CC=C2C(=C1)C(C)(C)CCC2(C)C
DB02878	[H][C@](CN)(CCC(O)=O)[C@]([H])(CCN)CC(O)=O
DB02879	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(OS(O)(=O)=O)[C@@]1([H])OS(O)(=O)=O
DB02883	NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](COP(O)(O)=O)O1
DB02884	N[C@@H](CC1CCCCC1)C(O)=O
DB02885	FC(F)(F)C1=NC(=N)C(=C)C=N1
DB02887	CC1=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C=C2)C(=O)NC1=O
DB02888	COC1=CC(=CC(OC)=C1OC)C(F)(F)C(=O)N1CCCC[C@H]1C(=O)O[C@@H](CCCC1=CC=CC=C1)CCCC1=CN=CC=C1
DB02889	[H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
DB02890	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1O
DB02892	N[C@@H](CCCC(=C)C(O)=O)C(O)=O
DB02893	CSCC[C@@H](N)C(O)=O
DB02894	[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OS(=O)(=O)O2
DB02895	S\C=C\C[S@](=O)CC=C
DB02896	CSC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DB02897	CC(=O)OP(O)(O)=O
DB02898	NC1=NC2=C(N=CN2)C(OC[C@H]2CCC(=O)N2)=N1
DB02899	[H][C@@](CCSC)(NC(O)=O)C(O)=O
DB02900	O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
DB02902	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
DB02903	NC(CO\C(O)=N\CCNC1=C(NCCCN2CCN(CCC\N=C(/O)C3=CC(=CC(OC4OC(CO)C(O)C(O)C4O)=C3)[N+]([O-])=O)CC2)C(=O)C1=O)CO\C(O)=N\CCNC1=C(NCCCN2CCN(CCC\N=C(/O)C3=CC(=CC(O[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)=C3)[N+]([O-])=O)CC2)C(=O)C1=O
DB02904	[H][C@](CN)(CO)C(O)=O
DB02905	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@@H]([C@@H]1O)N1C=NC2=C1C=NC(=O)N2
DB02906	[H][C@@]1(C)C(=O)C[C@@]([H])(CC(O)O)C1(C)C
DB02907	N\C=C\OP(O)(O)=O
DB02908	OP(O)(=O)C(C1=CC=CC=C1)P(O)(O)=O
DB02909	OC(=O)C1=CC=C(O1)C1=CC=CC=C1Cl
DB02910	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DB02911	[H][C@]1(CNC2=C(N1)C(N)=NC(N)=N2)C1=CC=CC=C1
DB02912	[H][C@](O)(C(=O)NCCC(=O)NCCSC(=O)CC)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O
DB02915	CC1=NC(C)=C(S1)C1=CC=NC(NC2=CC=C(C=C2)C(F)(F)F)=N1
DB02917	CN(C1=CC=C(C=C1)C(=O)NO)S(=O)(=O)C1=CC=C(S1)C1=NC=CC=C1
DB02918	COC1=CC(=CC=C1OC(F)F)C1=NNC(=O)C=C1
DB02919	COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC
DB02921	CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2
DB02923	OC1=C(O)C(=CC=C1)C1=CC=CC=C1
DB02924	CC(=C)[C@@H]1CC[C@@]2(C)O[C@H]2C1
DB02925	NS(=O)(=O)C1=CC(=CC(N2CCCC2)=C1OC1=CC=CC=C1)C(O)=O
DB02927	C[C@H](N)[C@@H](CCCCCC(O)=O)NC(=O)OP(O)(O)=O
DB02928	N[C@@H](CC1=CC(N)=C(O)C=C1O)C(O)=O
DB02929	COC1=CC=C2SCCN(CC2=C1)C(=O)CCN1CCC(CC2=CC=CC=C2)CC1
DB02930	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=S)[C@@H](O)[C@H]1O
DB02931	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSCC(=O)N([H])CCC4=CN([H])C5=CC=CC=C45)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB02932	C[C@](O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
DB02933	[H][C@]1(CSC)O[C@@]([H])(N2C=CC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB02934	[H][C@@](C)(O)[C@@]1([H])O[C@@]([H])(N2C=NC3=C(C)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB02935	COCCOCCOC
DB02936	CC1=C(CC(N)=O)C2=C(C=CC(OCCCC(O)=O)=C2)N1CC1=CC=CC=C1
DB02937	[H][C@]1(COP(O)(=O)OP(O)(=O)C[As](O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB02938	CCCCCCC(O)=O
DB02940	[H][C@@]1(CSC(=N1)C(\N)=C\C)C(O)=O
DB02941	[H][C@@](C)(N)[C@@]([H])(CCCCCC(O)=O)CC(O)=O
DB02942	O[C@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O
DB02945	[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
DB02947	[H][C@]1(O)C[C@@]([H])(O[C@]1([H])CO)N1C=NC2=C(N)N=C(F)N=C12
DB02948	ON(CCCP(O)(O)=O)C=O
DB02949	CC1=C2C=C3[C@@H](C(O)=C)C(C)=C4C=C5N6C(=CC7=C(CCC(O)=O)C(C)=C8C=C([C@@H]1C=C)N2[Fe@@]6(N34)N78)C(CCC(O)=O)=C5C
DB02950	[H][C@@]12C=C(Br)N=C1C(=O)NCC[C@]2([H])C1=NC(N)=NC1=O
DB02951	OCC(=O)C(O)=O
DB02952	CC(C)(N)C(O)=O
DB02953	[H][C@](CS)(CC1=CC=CC=C1)C(O)=O
DB02954	ON(CC(O)=O)C(O)=O
DB02955	CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O
DB02956	[S-]SSS[S-]
DB02959	N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O
DB02961	[H][C@@](C)(O)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)C=O
DB02962	N1C=NC2=CC=CC=C12
DB02963	CS(=O)(=O)C1=CC=C(NC2=CC(Cl)=NC3=CC=NN23)C=C1
DB02964	OC[C@H]1O[C@@]2(NC(=S)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O
DB02965	[H][C@](N)(CCCN[P@@](N)(=O)NS(O)(=O)=O)C(O)=O
DB02966	N[C@@H](CN1C=C(F)C(=O)NC1=O)C(O)=O
DB02967	CCN1C(=O)C=CC1=O
DB02968	[H][C@](N)(COC(=O)[C@@]([H])(N=C([O-])CC1=CC=CC=C1)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1)C([O-])=O
DB02969	CC1=C(CCO)SC=N1
DB02970	CCCC1=CC=CC=C1N
DB02972	CC[C@H](N)CC1=CC=CC=C1
DB02973	NS(=O)(=O)C1=CC=C(C=C1)\N=N\C1=C2C=C(Br)C=CC2=NC1=O
DB02974	ClC1=CC=C(C=C1)C1=CN=CN1
DB02975	[H][C@]1(NC(=O)CNC(=O)C2=C(COC)SC(=N2)[C@@H](NC(=O)C2=C(C)SC(=N2)[C@H](CC(=O)NC)NC(=O)C2=CSC(=N2)C2=CC=C(N=C2C2=CSC(=N2)C2=CSC1=N2)C1=NC(=CS1)C1=N[C@@H](CO1)C(=O)N1CCC[C@H]1C(N)=O)C(C)C)[C@@H](O)C1=CC=CC=C1
DB02976	[H]N1C(=O)C=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@@]3([H])F)[C@@H](O)[C@H]2O)C1=O
DB02977	[H][C@@](O)(N[C@@]([H])(CC1=CC=CC=C1)[C@]([H])(O)N[C@@]([H])(CC1=CC(C(O)=O)=C(OCC(O)=O)C=C1)[C@@]([H])(O)NCCCCC)OC(C)(C)C
DB02979	CS\C(N)=N\CCCCCCCCCCCCCC\N=C(/N)SC
DB02980	[H]N1C(=O)N(C=C(C)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(S)=S)O1
DB02981	[H][C@@](CCCC)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O
DB02983	OS(=O)(=O)C1=CC=C([Hg])C=C1
DB02984	COC1=CC2=NC=NC(NC3=CC(SC)=CC=C3)=C2C=C1OC
DB02985	NC1=NC(=O)C2=C(N1)N=C(I)N2
DB02986	NS(=O)(=O)C1=CC=C(S1)S(=O)(=O)NCC1=CC=CS1
DB02987	N[C@@H](CSCC(N)=O)C(O)=O
DB02988	[H]N=C(CC1=CNC2=CC=CC=C12)C(O)=O
DB02989	CC(C)COC1=CC=CC(C2=NC3=C(N2)C=C(Cl)C(=C3)C(N)=N)=C1O
DB02990	CCCCCCCCCCCCCCCC(=O)SCCNC(C)=O
DB02991	CCS\C(N)=N\C1=CC=C(C=C1)C(F)(F)F
DB02992	[H][C@@](O)(CNCP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
DB02994	C[As](C)(O)=O
DB02995	[NH3+]C1CCCCC1
DB02996	[H][C@](CS)(CC(C)C)C(O)=O
DB02998	[H][C@@]12CC[C@](C)(O)[C@@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H]
DB02999	N[C@@H](CN1OC(=O)NC1=O)C(O)=O
DB03000	[H][C@@](C)(O)CN1C=NC2=C(N)N=CN=C12
DB03003	[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CS(O)(=O)=O)C(=O)N([H])CC(O)=O)C(O)=O
DB03005	NC1=CC2=C(C=C1)C1=CC=C(N)C=C1C(C1=CC=CC=C1)=[N+]2CCCCCCC1=CN=NN1CCNC1=C2CCCCC2=NC2=C1C=CC=C2
DB03006	NC1=CC=C(C=C1)[As](O)(O)=O
DB03008	[H][C@]1(O)[C@@]([H])(O)[C@]([H])(O)[C@](F)(CO)OC1([H])F
DB03011	[H][C@]1(COP(O)(S)=S)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)C([H])(O)[C@]1([H])O
DB03012	[H][C@@](CC1=CC=CC=C1)(NS(N)(=O)=O)C(O)=O
DB03013	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
DB03015	[H]N1C=[N+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1[C@H](O)N=CN2[H]
DB03016	NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=C(O)C=CC=N1
DB03018	CC1=CC=C(N)C=C1C
DB03019	NC1=NC=CC(=N1)C1=C(Cl)SC(Cl)=C1
DB03020	NC(=O)C1=C[NH+]=CC(=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
DB03021	[H]C(=C([H])C([H])(C)C([H])(OC(C)=O)[C@]([H])(C)C(=O)CC[C@]([H])(C)[C@]([H])(C[C@]1([H])OC(=O)C[C@@]([H])(O)CCCC(=O)C[C@]([H])(C)C2=COC(=N2)C2=COC(=N2)C2=COC(=N2)\C([H])=C([H])\C[C@]([H])(OC)[C@@]1([H])C)OC)N(C)CO
DB03022	[H]N1C2=C(N(CCCOP(O)(O)=O)C(=O)N2C[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)N([H])C1=O
DB03023	CC(C)(C)N1[NH+]=C(C2=C1N=CN=C2N)C1=CC=C(Cl)C=C1
DB03024	[H][C@](C)(CC1=CSC(N)=N1)C=O
DB03026	ONC(=O)COP(O)(O)=O
DB03028	OC(=O)C1=NC2=CC=CC=C2N1
DB03030	CC1=CC=C(CN2C=NC(=C2)C2=CC=CS2)C=C1
DB03031	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCCCCCNC(=O)C12CC3CC(CC(C3)C1)C2
DB03032	CCCCCCCCSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
DB03033	COC1=CC=C(C=C1)S([O-])=O
DB03034	C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
DB03035	OC1=CC=CC2=C1C(=O)C1=C(O)C=CC(=C1C2=O)[N+]([O-])=O
DB03037	OC(=O)CC1=C(O)C2=C(C=C1)C(=O)C1=C(C(O)=CC=C1)C2=O
DB03038	[H]N([H])C1=NC(=O)C2=C(N([H])C=C2CCC2=CC=C(C=C2)C(=O)N([H])[C@@H](CCC2=NN([H])N=N2)C(O)=O)N1[H]
DB03039	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC(F)=CC=C1F
DB03040	OC(=O)CN(CC(O)=O)CC(O)=O
DB03041	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
DB03042	[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(O)=O
DB03044	CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C
DB03045	CC(=O)OCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COC(=O)C(C)(C)C
DB03046	COC1=CC=C2C=CC(=CC2=C1C1=CN(N=C1)S(C)(=O)=O)C(N)=N
DB03048	OC(=O)CC1=CC(=O)NC(=O)N1
DB03049	N[C@@H](CS[SeH])C(O)=O
DB03051	OC(=O)[C@H]1CCCO1
DB03052	OC(=O)C1=CC=C(OCCN2C=CN=C2)C=C1
DB03053	NC1(CC1)[P@](O)([O-])=O
DB03056	C1CCN(CC1)C1CCNCC1
DB03057	[H]C(=O)CC([H])=O
DB03058	NC1=CC=CC=C1CO
DB03059	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DB03060	COC1=CC(\C=C/C2=C(C)C3=C(N)N=C(N)N=C3N=C2)=C(OC)C=C1
DB03061	CCCCC[C@H](C)NC=O
DB03062	CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CN=CC=C1
DB03063	COC1=CC(=CC(OC)=C1OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC[C@@H]1CCC2OCOC2C1)C(=O)CCN1C(=O)C2=CC=CC=C2C1=O
DB03064	CCCCCCCCCCC1=C(O)C(=O)NC1=O
DB03065	NC(=N)N1C=C2C=CC=C(C2=N1)[N+]([O-])=O
DB03066	[H][C@](C)(O)C(O)=O
DB03067	OC(=O)C1=C(C=C(OC2=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C2)C=C1)C(O)=O
DB03068	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC=NC1=O
DB03069	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
DB03070	[H]N([H])C(=O)C1=C[Se]C(=N1)[C@]1([H])O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O
DB03072	CC1=CC=CC2=C1N=C(CCCN1CCC(=CC1)C1=CC=C(F)C=C1)NC2=O
DB03073	COC1=CC(=CC=C1)C(N)=O
DB03074	NC1=NC2=C(C(=CN2)C#N)C(=O)N1
DB03075	OP(O)(=O)N[P@](O)(=O)OP(O)(O)=O
DB03076	CNC(=O)C1=CC=CC(CN2[C@H](COC3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H](COC3=CC=CC=C3)N(CC3=CC=CC=C3)S2(=O)=O)=C1
DB03077	CCCOCCOCCOCCCNC1=C(N)C(=O)C1=O
DB03078	O[P@@](=O)(OCC1=CC=CC=C1)OC1=C(C=O)C=CC=C1
DB03079	[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=CC=CC=C23)[C@]([H])(O)[C@]1([H])O
DB03081	COC1=C(C)C(C)=C(C(C)=C1)S(=O)(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](CC1=CC=C(C=C1)C(N)=N)C(=O)N1CCCCC1
DB03082	NCC1=CC=C(NC(=O)C2=CC(NC3=NC=CC=N3)=C3C=C(C=CC3=C2)C(N)=N)C=C1
DB03083	COC1=CC(OC)=C(\C=C2\C(=O)NC3=CC=CC=C23)C(OC)=C1
DB03084	CCCN1C(=NC(=C1C1=CC=NC(NC2CC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCN(C)CC1
DB03085	OCC(O)=O
DB03086	[H][C@@](N)(CC1CCCCC1)[C@]([H])(O)C(=O)NNC1=CC=C(C)C=C1
DB03087	CC[C@@H](C)C1=NC=CS1
DB03090	[H][C@@](CCCC)(N1CCN[C@]([H])(CC2=CC=CC=C2)C1=O)C(O)=O
DB03091	N[C@@H](CCC(O)=O)C(N)=O
DB03093	COC1=CC(CC2=NC3=NC(F)=NC(N)=C3N2)=C(OC)C=C1
DB03095	C[N+](C)(C)C
DB03096	NCCN1CCOCC1
DB03097	[H]N(CC1=C(O)C(C)=NC=C1COP(O)(O)=O)C1=CON([H])C1=O
DB03098	C[Se]CC([O-])=O
DB03100	O=N(=O)C1=CC2=NNC=C2C=C1
DB03101	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O
DB03102	OC(=O)C(=O)NC1=C(C(O)=O)C2=C(COCC2)S1
DB03103	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
DB03104	CC(=O)N\C(=C/C1=CC=C(CC(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
DB03106	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
DB03107	NCCC(O)=O
DB03108	[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)C(O)=O
DB03109	[H]N([C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O)C(C)=O
DB03110	OC1=CC=CC=C1Cl
DB03111	N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O
DB03112	[H][C@]12CS[C@@]([H])(CCCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB03113	[H][C@@](CF)(OP(O)(O)=O)C(O)=O
DB03114	O[P@@](=O)(OCC1CCCCC1)OC1=C(C=O)C=CC=C1
DB03115	[H]N(OC[C@@H](O)CO)C(=O)C1=CC(Br)=C(F)C(F)=C1N([H])C1=C(F)C=C(I)C=C1
DB03116	[H][C@]1(CC(=C[C@@]([H])(OP(O)(O)=O)[C@@]1([H])O)C(O)=O)O[C@@](C)(OP(O)(O)=O)C(O)=O
DB03117	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSC[C@H](C)C(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB03118	O\C(=C/C(=O)C1=CNC2=CC=C(Cl)C=C12)C1=NN=NN1
DB03120	CC1=CC=C(C=C1)S(O)(=O)=O
DB03121	COC1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(C)=C2CC(O)=O
DB03124	[H][C@@](CC(O)=O)(NC(=O)C1=CC=C(CNS(=O)(=O)C2=CC(C(O)=O)=C(O)C=C2)C=C1)C(C)=O
DB03125	COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OC)=C1OC
DB03126	[H][C@@]1(C[C@]([H])(OC(=O)C2=CC=CC=C2NC)[C@@]([H])(COP(O)(=O)OP(O)(O)=O)O1)N1C=NC2=C(N)N=CN=C12
DB03127	NC(=[NH2+])C1=CC=CC=C1
DB03128	CC(=O)OCC[N+](C)(C)C
DB03129	[H]N([H])C(N([H])[H])=[N+]([H])CCCOB1OCCO1
DB03130	[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSC(O)OCC1=CC=C(C=C1)[N+]([O-])=O)C(=O)N([H])CC(O)=O)C(O)=O
DB03132	OS(=O)(=O)CCCSC1=NC2=C(S1)C=CC=C2
DB03133	[H][C@]1(CO)O[C@@]([H])(C2=NC3=C(N2)C=C(C)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB03134	N[C@@H](CCCCC(O)=O)C(O)=O
DB03135	ON(CCP(O)(O)=O)C=O
DB03136	NC(=[NH2+])C1=CC2=C(S1)C=CC=C2I
DB03137	COC1=CC(CC2=NC3=C(N)N=C(F)N=C3N2CCCC#C)=C(OC)C=C1
DB03138	[O-][Cl](=O)(=O)=O
DB03139	[H][C@@]1(CCCCC(=O)NCCCCCC(O)=O)SC[C@]2([H])NC(=O)N[C@]12[H]
DB03140	OB(O)C1=CC=C(C=C1)C(O)=O
DB03141	O[C@@H]1CN(N(CC2=CC=C(O)C=C2)C(=O)N(CC2=CC=C(O)C=C2)[C@@H]1CC1=CC=CC=C1)S(=O)(=O)C1=CC(=CC=C1)C#N
DB03142	OC[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O
DB03143	CCCCCCCCCO
DB03144	N[C@@H](CCCNC(=N)NO)C(O)=O
DB03145	CC1=C(CCOP(O)(O)=O)SC=N1
DB03146	[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2[NH+]=CN=C3SP(O)(O)=O)[C@]([H])(O)[C@]1([H])O
DB03148	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]1O
DB03150	CC1=CN([C@H]2CC[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
DB03151	[Cu]12[Cu]3[Cu]4[Cu]1S234
DB03152	[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC
DB03153	OC1=NC=NC2=C1N=NC2
DB03154	OP(O)(=O)C(F)(F)C1=CC2=CC(=CC=C2C=C1)C(F)(F)P(O)(O)=O
DB03155	[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@]2([H])F)C1=O
DB03156	O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
DB03157	[H][C@@](CC1=CC=C(OS(=O)(=O)C2=CC=CC3=C2C=CC=C3N(C)C)C=C1)(NS(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C)C(O)=O
DB03158	O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1OP(O)(O)=O
